68, 103, 131, 139, 143, 151, 156, 165, 212, 239, 240, 242, 247, 261, 271, 301, 371, 416, 439, 481, 483, 
21888, 21902, 21913, 21936, 21936, 21941, 22025, 22061, 22071, 22078, 22108, 22159, 22184, 22253, 22287, 22293, 22311, 22322, 22330, 22340, 
22529, 22621, 22703, 22713, 22782, 22811, 22823, 22829, 22863, 22902, 22927, 22937, 22947, 22976, 23044, 23113, 23137, 23207, 23245, 23272, 
23336, 23428, 23443, 23545, 23565, 23574, 23577, 23672, 23737, 23751, 23754, 23771, 23776, 23803, 23817, 23879, 23930, 23974, 23975, 23983, 
24089, 24156, 24182, 24252, 24341, 24431, 24456, 24467, 24469, 24565, 24573, 24576, 24593, 24604, 24635, 24672, 24715, 24777, 24848, 24854, 
24858, 24883, 24885, 24909, 24937, 24940, 24989, 25009, 25023, 25064, 25066, 25128, 25160, 25165, 25171, 25174, 25203, 25256, 25268, 25284, 
25292, 25309, 25327, 25329, 25359, 25382, 25387, 25392, 25425, 25434, 25470, 25502, 25503, 25538, 25692, 25735, 25761, 25827, 25862, 25868, 
25889, 25914, 25945, 25956, 25995, 26006, 26028, 26046, 26050, 26103, 26113, 26217, 26244, 26261, 26292, 26302, 26335, 26347, 26358, 26364, 
26429, 26434, 26455, 26473, 26503, 26562, 26575, 26589, 26658, 26661, 26671, 26681, 26704, 26725, 26758, 26806, 26813, 26820, 26824, 26842, 
26843, 26930, 26962, 27052, 27085, 27087, 27163, 27233, 27250, 27278, 27413, 27472, 27473, 27499, 27546, 27581, 27596, 27603, 27648, 27767, 
27800, 27801, 27826, 27834, 27839, 27875, 27908, 27964, 27984, 28012, 28081, 28081, 28097, 28178, 28271, 28275, 28278, 28329, 28331, 28358, 
28365, 28518, 28544, 28559, 28564, 28569, 28643, 28699, 28718, 28768, 28778, 28796, 28902, 28908, 28915, 28947, 29017, 29053, 29064, 29073, 
29131, 29163, 29165, 29187, 29262, 29274, 29357, 29386, 29393, 29466, 29571, 29592, 29661, 29773, 29810, 29883, 29937, 29963, 29973, 29994, 
30134, 30175, 30322, 30347, 30365, 30368, 30389, 30405, 30500, 30680, 30724, 30739, 30767, 30802, 30814, 30830, 30832, 30894, 30903, 30908, 
30927, 30935, 30957, 30957, 31022, 31050, 31053, 31060, 31068, 31080, 31115, 31118, 31155, 31263, 31310, 31317, 31395, 31409, 31504, 31599, 
31604, 31608, 31627, 31635, 31672, 31732, 31769, 31814, 31831, 31898, 31909, 31934, 31953, 32006, 32056, 32061, 32086, 32087, 32110, 32143, 
32175, 32242, 32268, 32275, 32325, 32351, 32363, 32415, 32457, 32466, 32478, 32550, 32569, 32575, 32589, 32633, 32678, 32706, 32715
